rd1	rd1_monOrder	rd1Ori	rd2	rd2_monOrder	rd2Ori	insSizeEstimate	insVector
972411493	m14v4,m15v4	R	NA	NaN	NaN	1925	smPlasmid
980771494	m13v3,m14v3,m15v4	F	NA	NaN	NaN	1925	smPlasmid
947181021	m3v2	R	NA	NaN	NaN	1925	smPlasmid
944576120	m27v4,m28v4	R	NA	NaN	NaN	10201	lgPlasmid
966980999	m23v1,m24v7	R	NA	NaN	NaN	1925	smPlasmid
971938790	m1v2,m2v2	F	NA	NaN	NaN	10201	lgPlasmid
946890492	m2v4,m3v2	R	NA	NaN	NaN	1925	smPlasmid
949355975	m3v2,m4v4	F	NA	NaN	NaN	10201	lgPlasmid
972320301	m30v2,m31v1	F	NA	NaN	NaN	1925	smPlasmid
944245793	m12v1	F	NA	NaN	NaN	10201	lgPlasmid
944607307	m26v6,m27v4	R	NA	NaN	NaN	10201	lgPlasmid
980705581	m30v2,m31v1	R	NA	NaN	NaN	1925	smPlasmid
967148761	m25v1,m26v7	R	NA	NaN	NaN	1925	smPlasmid
942399820	m2v4	R	NA	NaN	NaN	10201	lgPlasmid
952417982	m10v1	R	NA	NaN	NaN	1925	smPlasmid
971900942	m2v2,m3v2	R	NA	NaN	NaN	10201	lgPlasmid
