HLpruHim1	NCBI	GCA_013398875.1	Prunella himalayana
HLpsiEri1	NCBI	GCA_009867235.1	Psittacus erithacus
HLpsiGol1	NCBI	GCA_010014875.1	Psitteuteles goldiei
HLpsiHae1	NCBI	GCA_013396835.1	Psilopogon haemacephalus
HLpsiKra1	NCBI	GCA_002870145.1	Psittacula krameri
HLpsiTim1	NCBI	GCA_009867315.1	Psittacus timneh
HLpsoCre1	NCBI	GCA_013399095.1	Psophia crepitans
HLpteBur1	NCBI	GCA_013397535.1	Pterocles burchelli
HLpteGut1	NCBI	GCA_009769525.1	Pterocles gutturalis
HLpteMel1	NCBI	GCA_013401235.1	Pteruthius melanotis
HLpteOri1	NCBI	GCA_011057875.1	Pterocles orientalis
HLptePen1	NCBI	GCA_003342835.1	Pterocnemia pennata
HLptiLeu1	NCBI	GCA_013396485.1	Ptilorrhoa leucosticta
HLptiVio1	NCBI	GCA_013397565.1	Ptilonorhynchus violaceus
HLpycJoc1	NCBI	GCA_013400435.1	Pycnonotus jocosus
HLpygAnt1	NCBI	GCA_010078415.1	Pygoscelis antarcticus
HLpygPap1	NCBI	GCA_010090195.1	Pygoscelis papua
HLpyrCru1	NCBI	GCA_016545565.1	Pyrrhura cruentata
HLpyrFro1	NCBI	GCA_010014865.1	Pyrrhura frontalis
HLpyrGri1	NCBI	GCA_010014965.1	Pyrrhura griseipectus
HLpyrLep1	NCBI	GCA_015163975.1	Pyrrhura lepida
HLpyrMol1	NCBI	GCA_011763355.1	Pyrrhura molinae
HLpyrPer1	NCBI	GCA_011763455.1	Pyrrhura perlata
HLpyrRuf1	NCBI	GCF_017590135.1	Pyrgilauda ruficollis
HLquiMex1	NCBI	GCA_013399035.1	Quiscalus mexicanus
HLralLim1	NCBI	GCA_022605955.1	Rallus limicola
HLramSul1	NCBI	GCA_013399055.1	Ramphastos sulfuratus
HLregSat1	NCBI	GCA_013396955.1	Regulus satrapa
HLrhaIno1	NCBI	GCA_013397075.1	Rhabdornis inornatus
