9837	GCF_000767855.1	Ca_bactrianus_MBC_1.0	Camelus bactrianus	Bactrian camel;camel;domestic Bactrian camel;two-humped camel;
9838	GCF_000767585.1	PRJNA234474_Ca_dromedarius_V1.0	Camelus dromedarius	Arabian camel;camel;dromedaries;dromedary;one-humped camel;
9901	GCF_000754665.1	Bison_UMD1.0	Bison bison bison	American bison;Bos (Bison) bison;Bison;
9913	GCF_000003055.6	Bos_taurus_UMD_3.1.1	Bos taurus	cattle;Bos bovis;Bos primigenius taurus;bovine;cow;domestic cattle;domestic cow;
9915	GCF_000247795.1	Bos_indicus_1.0	Bos indicus	zebu cattle;Bos taurus indicus;Bos primigenius indicus;zebu;
9925	GCF_001704415.1	ARS1	Capra hircus	goat;Capra aegagrus hircus;domestic goat;goats;
9940	GCF_000298735.2	Oar_v4.0	Ovis aries	sheep;Ovis ammon aries;Ovis orientalis aries;Ovis ovis;domestic sheep;lambs;wild sheep;
9974	GCF_001685135.1	ManJav1.0	Manis javanica	Malayan pangolin;
9978	GCF_000292845.1	OchPri3.0	Ochotona princeps	American pika;southern American pika;
9986	GCF_000003625.3	OryCun2.0	Oryctolagus cuniculus	rabbit;European rabbit;Japanese white rabbit;domestic rabbit;rabbits;
9993	GCF_001458135.1	marMar2.1	Marmota marmota marmota	European marmot;
