wgEncodeCaltechTfbsC2c12SrfFCntrl32bE2p24hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf12FCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf12FCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf12FCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf12FCntrl50bE2p60hPcr1xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf3FCntrl32bE2p5dPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf3FCntrl32bE2p5dPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf3FCntrl32bE2p5dPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Tcf3FCntrl32bE2p5dPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Usf1FCntrl50bE2p60hPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Usf1FCntrl50bE2p60hPcr1xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Usf1FCntrl50bE2p60hPcr1xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
