#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeSydhTfbsImr90CtcfbIggrabAlnRep2	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CtcfbIggrabPk	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CtcfbIggrabRawDataRep1	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CtcfbIggrabRawDataRep2	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CtcfbIggrabSig	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90InputIggrabAlnRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90InputIggrabRawDataRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90InputIggrabSig	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabAlnRep1	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabAlnRep2	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabPk	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabRawDataRep1	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabRawDataRep2	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90MafkIggrabSig	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabAlnRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabAlnRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabPk	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabRawDataRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabRawDataRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mazab85725IggrabSig	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mxi1IggrabAlnRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mxi1IggrabAlnRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Mxi1IggrabPk	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
