GCA_044166285.1_HG03521_hap1_hprc_f2	human (HG03521 hap1 2024)
GCA_044166645.1_HG03521_hap2_hprc_f2	human (HG03521 hap2 2024)
GCA_018473295.2_HG03540_mat_hprc_f2	human (HG03540 mat 2024)
GCA_018473315.2_HG03540_pat_hprc_f2	human (HG03540 pat 2024)
GCA_018472825.2_HG03579_mat_hprc_f2	human (HG03579 mat 2024)
GCA_018472835.2_HG03579_pat_hprc_f2	human (HG03579 pat 2024)
GCA_042077635.1_HG03583_hap1_hprc_f2	human (HG03583 hap1 2024)
GCA_042077425.1_HG03583_hap2_hprc_f2	human (HG03583 hap2 2024)
GCA_042029535.1_HG03654_mat_hprc_f2	human (HG03654 mat 2024)
GCA_042030035.1_HG03654_pat_hprc_f2	human (HG03654 pat 2024)
GCA_042028875.1_HG03669_mat_hprc_f2	human (HG03669 mat 2024)
GCA_042029925.1_HG03669_pat_hprc_f2	human (HG03669 pat 2024)
GCA_042029545.1_HG03688_mat_hprc_f2	human (HG03688 mat 2024)
GCA_042030025.1_HG03688_pat_hprc_f2	human (HG03688 pat 2024)
GCA_042026535.1_HG03704_mat_hprc_f2	human (HG03704 mat 2024)
GCA_042027445.1_HG03704_pat_hprc_f2	human (HG03704 pat 2024)
GCA_042029485.1_HG03710_mat_hprc_f2	human (HG03710 mat 2024)
GCA_042030055.1_HG03710_pat_hprc_f2	human (HG03710 pat 2024)
GCA_042034325.1_HG03742_hap1_hprc_f2	human (HG03742 hap1 2024)
GCA_042034195.1_HG03742_hap2_hprc_f2	human (HG03742 hap2 2024)
GCA_044166095.1_HG03784_hap1_hprc_f2	human (HG03784 hap1 2024)
GCA_044165595.1_HG03784_hap2_hprc_f2	human (HG03784 hap2 2024)
GCA_042036285.1_HG03804_mat_hprc_f2	human (HG03804 mat 2024)
GCA_042036515.1_HG03804_pat_hprc_f2	human (HG03804 pat 2024)
GCA_046116015.1_HG03816_mat_hprc_f2	human (HG03816 mat 2024)
GCA_046116025.1_HG03816_pat_hprc_f2	human (HG03816 pat 2024)
GCA_042028025.1_HG03831_mat_hprc_f2	human (HG03831 mat 2024)
GCA_042028725.1_HG03831_pat_hprc_f2	human (HG03831 pat 2024)
GCA_041900115.1_HG03834_mat_hprc_rel2	human (HG03834 mat 2024)
GCA_041899965.1_HG03834_pat_hprc_rel2	human (HG03834 pat 2024)
GCA_042076925.1_HG03874_hap1_hprc_f2	human (HG03874 hap1 2024)
GCA_042076685.1_HG03874_hap2_hprc_f2	human (HG03874 hap2 2024)
GCA_042028145.1_HG03927_mat_hprc_f2	human (HG03927 mat 2024)
