accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX5955382	Blood	NA	Blood cells	Blood cells	SRP200197	SRS4865872	0.986	0.762	6.981	0.598	0.732	0.963	1085.45	42007	18522.36	1046
SRX7275187	GV oocyte	NA	GV oocyte	NA	SRP234847	SRS5769322	0.925	0.483	3.092	0.578	0.190	0.767	14608.81	21397	633703.43	1437
SRX7287424	GV oocyte	NA	GV oocyte	NA	SRP235167	SRS5780702	0.938	0.518	4.588	0.566	0.353	0.896	17300.39	22080	621151.79	1518
SRX7287431	GV oocyte	NA	GV oocyte	NA	SRP235169	SRS5780709	0.957	0.532	3.865	0.521	0.322	0.861	3567.09	36927	1099039.3	519
SRX7343233	GV oocyte	NA	GV oocyte	NA	SRP235962	SRS5803060	0.941	0.447	3.672	0.527	0.271	0.833	25467.42	13945	483499.93	2191
SRX7343913	MII oocyte	NA	MII oocyte	NA	SRP236062	SRS5803736	0.925	0.414	3.036	0.593	0.095	0.727	21291.42	12702	658453.52	1287
SRX7349286	GV oocyte	NA	GV oocyte	NA	SRP236906	SRS5808851	0.940	0.442	3.600	0.568	0.261	0.826	25244.57	14234	445035.17	2367
SRX7391186	GV oocyte	NA	GV oocyte	NA	SRP237841	SRS5839431	0.922	0.482	3.171	0.582	0.116	0.762	20405.83	15186	528286.08	1904
SRX7426828	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872926	0.994	0.690	4.107	0.741	0.313	0.894	3331.07	51900	69582.53	2799
SRX7426829	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872927	0.994	0.615	5.026	0.592	0.482	0.918	3010.26	48483	79035.18	1896
SRX7426830	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872928	0.992	0.687	4.837	0.694	0.481	0.923	3084.31	49725	52126.83	3098
SRX7426831	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872929	0.992	0.652	5.156	0.610	0.438	0.929	2852.16	47816	71489.66	1993
SRX7426832	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872930	0.991	0.636	5.134	0.582	0.331	0.933	3400.45	48806	78087.62	2224
SRX7426833	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872931	0.994	0.718	4.610	0.795	0.370	0.898	3042.06	50635	52646.62	3453
SRX7426834	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872932	0.993	0.682	6.015	0.727	0.383	0.953	2906.97	51241	56633.83	3106
SRX7426835	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872933	0.992	0.684	6.864	0.723	0.363	0.962	3116.38	54216	60172.74	3390
SRX7426836	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872934	0.993	0.673	5.683	0.675	0.370	0.941	2456.43	45680	47538.25	2488
SRX7426837	Sperm	NA	Sperm	Sperm	SRP238442	SRS5872935	0.994	0.740	6.194	0.812	0.570	0.938	2848.93	51653	39179.49	4612
SRX7575383	2-4 cell embryo	2-4 cell embryo	NA	2-4 cell embryo	SRP242537	SRS6009995	0.970	0.400	1.918	0.746	0.577	0.745	23231.63	6211	864421.34	505
SRX7575384	8-16 cell embryo	8-16 cell embryo	NA	8-16 cell embryo	SRP242537	SRS6009996	0.976	0.397	1.678	0.708	0.720	0.718	27398.76	3907	886030.59	532
SRX7575385	Blastocyst	Blastocyst	NA	Blastocyst	SRP242537	SRS6009997	0.988	0.268	6.171	0.697	0.474	0.902	62666.79	1273	527166.52	1133
SRX7575386	Morula	Morula	NA	Morula	SRP242537	SRS6009998	0.981	0.413	1.622	0.761	0.677	0.712	27350.89	5556	754030.63	532
SRX7575388	Sperm	Sperm	NA	Sperm	SRP242537	SRS6010000	0.988	0.733	3.201	0.719	0.796	0.870	2522.53	44927	108682.24	1267
SRX760453	Placenta	NA	placenta	placenta	SRP049936	SRS745062	0.994	0.300	2.365	0.666	0.880	0.828	0.0	0	2857324.78	211
SRX760458	Cerebrum	NA	cerebrum	cerebrum	SRP049936	SRS745067	0.918	0.743	2.096	0.630	0.771	0.745	1831.28	26859	322133.04	525
SRX7950265	Bone	NA	Bone	Bone	SRP253271	SRS6336935	0.994	0.686	23.511	0.720	0.413	0.984	1005.82	43697	12674.74	1492
SRX7950266	Bone	NA	Bone	Bone	SRP253271	SRS6336936	0.995	0.565	18.566	0.844	0.494	0.989	1061.91	39085	16733.84	2067
SRX8001102	Placenta	NA	Placenta	Placenta	SRP254023	SRS5921926	0.998	0.468	7.622	0.857	0.740	0.890	25355.47	10538	1106160.34	1004
SRX8001103	Adipose	NA	Adipose	Adipose	SRP254023	SRS6329408	0.998	0.769	8.138	0.874	0.738	0.866	1262.71	40192	30288.33	1403
SRX8001104	Adipose	NA	Adipose	Heart	SRP254023	SRS6329409	0.997	0.729	8.555	0.884	0.744	0.838	1395.91	30979	62895.92	2023
SRX8001105	Blood	NA	Blood	Jejunum	SRP254023	SRS6329410	0.998	0.668	8.153	0.879	0.781	0.879	1501.8	28009	36241.33	1146
SRX8001106	Blood	NA	Blood	Jejunum	SRP254023	SRS6329411	0.998	0.673	7.980	0.892	0.738	0.835	1635.87	21233	28986.06	858
SRX8001107	Heart	NA	Heart	Kidney	SRP254023	SRS6329412	0.998	0.720	11.006	0.897	0.740	0.923	1276.61	38960	16534.16	2566
SRX8001108	Ileum	NA	Ileum	Liver	SRP254023	SRS6329413	0.998	0.731	8.195	0.882	0.746	0.848	1643.85	33835	31375.3	1600
SRX8001109	Adipose	NA	Adipose	Adipose	SRP254023	SRS5921908	0.997	0.737	10.143	0.861	0.834	0.949	1231.96	41712	14511.8	2708
SRX8001110	Adipose	NA	Adipose	Adipose	SRP254023	SRS5921909	0.996	0.725	10.779	0.853	0.862	0.974	1175.11	41210	15287.95	2943
SRX8001111	Blood	NA	Blood	Blood	SRP254023	SRS5921910	0.997	0.757	9.213	0.863	0.799	0.911	1313.33	35611	11061.46	1949
SRX8001112	Blood	NA	Blood	Blood	SRP254023	SRS5921911	0.995	0.763	13.212	0.827	0.644	0.985	1088.14	44232	10496.81	2396
SRX8001113	Heart	NA	Heart	Heart	SRP254023	SRS5921912	0.996	0.690	7.876	0.862	0.808	0.901	1506.12	35225	68736.67	2668
SRX8001114	Ileum	NA	Ileum	Ileum	SRP254023	SRS5921913	0.993	0.603	20.553	0.600	0.722	0.988	1411.64	40495	106026.24	4047
SRX8001115	Kidney	NA	Kidney	Kidney	SRP254023	SRS5921914	0.996	0.704	12.009	0.788	0.777	0.972	1189.57	40625	17952.97	2859
