GCA_028536645.1_bAphCal1.0.hap2	western scrub-jay (CA MVZ Bird 193978 2023)
GCA_028536675.1_bAphCal1.0.hap1	western scrub-jay (CA MVZ Bird 193978 2023)
GCA_020745695.1_bHemCom1.alt.cur	whiskered treeswift (bHemCom1 alternate hap 2021)
GCA_020745705.1_bHemCom1.pri.cur	whiskered treeswift (bHemCor1 primary hap 2021)
GCF_015832195.1_Motacilla_alba_V1.0_pri	white wagtail
GCF_025592945.1_ASM2559294v1	white-collared manakin (Guabito, Panama 608988 2022)
GCF_003945725.1_ASM394572v1	white-ruffed manakin
GCF_017590055.1_ASM1759005v1	white-rumped snowfinch
GCF_000691405.1_ASM69140v1	white-tailed eagle (BGI_N329 2014)
GCA_947461875.1_bHalAlb1.1	white-tailed eagle (bHalAlb1.1 2022)
GCA_947461935.1_bHalAlb1.1_alternate_haplotype	white-tailed eagle (bHalAlb1.1 alternate hap 2022)
GCF_019238085.1_USGS_WTPT01	white-tailed ptarmigan
GCF_000687285.1_ASM68728v1	white-tailed tropicbird
GCF_000385455.1_Zonotrichia_albicollis-1.0.1	white-throated sparrow
GCF_000705375.1_ASM70537v2	white-throated tinamou
GCF_028858705.1_bGruAme1.mat	whooping crane (maternal hap 2023)
GCA_028858595.1_bGruAme1.pat	whooping crane (paternal hap 2023)
GCF_003031625.1_ASM303162v1	willow flycatcher
GCF_003945595.2_ASM394559v2	wire-tailed manakin (2020)
GCA_029207785.1_bChaFas1.0.hap2	wrentit (frontalis MVZ Bird 193981 alternate hap 2023)
GCA_029207755.1_bChaFas1.0.hap1	wrentit (frontalis MVZ Bird 193981 primary hap 2023)
GCA_024372515.1_bSetPet1.0.a	yellow warbler (LACM:Birds122168 alternate hap 2022)
GCA_024362935.1_bSetPet1.0.p	yellow warbler (LACM:Birds122168 primary hap 2022)
GCA_009769525.1_bPteGut1.pri	yellow-throated sandgrouse (2019)
GCA_009769505.1_bPteGut1.alt	yellow-throated sandgrouse (alternate hap 2019)
GCA_003957525.2_bTaeGut1.4.alt	zebra finch (Black17 v1.4 alternate hap 2021)
GCF_003957565.2_bTaeGut1.4.pri	zebra finch (Blue55 v1.4 primary hap 2021)
GCA_009859065.2_bTaeGut2.pri.v2	zebra finch (Blue55 2020)
GCA_003957525.1_bTaeGut1_v1.h	zebra finch (alternate hap Black17 2018)
GCA_009859025.1_bTaeGut2.p.v1.alt	zebra finch (alternate hap Blue55  v1 2020)
GCA_008822115.3_bTaeGut2.mat.v3	zebra finch (Blue55 maternal v3 2020)
GCA_008822125.1_bTaeGut2pat	zebra finch (Blue55 paternal 2019)
GCF_008822105.2_bTaeGut2.pat.W.v2	zebra finch (Blue55 paternal W 2020)
