#file	format	output	meta	ucsc_db	paired_end
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995918-SRR1974600-/SRR1974600_1.fastq.gz	fastq	reads	GSM1657928	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995918-SRR1974600-/SRR1974600_2.fastq.gz	fastq	reads	GSM1657928	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995919-SRR1974601-/SRR1974601_1.fastq.gz	fastq	reads	GSM1657929	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995919-SRR1974601-/SRR1974601_2.fastq.gz	fastq	reads	GSM1657929	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995920-SRR1974602-/SRR1974602_1.fastq.gz	fastq	reads	GSM1657930	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995920-SRR1974602-/SRR1974602_2.fastq.gz	fastq	reads	GSM1657930	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995921-SRR1974603-/SRR1974603_1.fastq.gz	fastq	reads	GSM1657931	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995921-SRR1974603-/SRR1974603_2.fastq.gz	fastq	reads	GSM1657931	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995922-SRR1974604-/SRR1974604_1.fastq.gz	fastq	reads	GSM1657932	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995922-SRR1974604-/SRR1974604_2.fastq.gz	fastq	reads	GSM1657932	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995923-SRR1974605-/SRR1974605_1.fastq.gz	fastq	reads	GSM1657933	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995923-SRR1974605-/SRR1974605_2.fastq.gz	fastq	reads	GSM1657933	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995924-SRR1974606-/SRR1974606_1.fastq.gz	fastq	reads	GSM1657934	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995924-SRR1974606-/SRR1974606_2.fastq.gz	fastq	reads	GSM1657934	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995925-SRR1974607-/SRR1974607_1.fastq.gz	fastq	reads	GSM1657935	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995925-SRR1974607-/SRR1974607_2.fastq.gz	fastq	reads	GSM1657935	hg38	2
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995926-SRR1974608-/SRR1974608_1.fastq.gz	fastq	reads	GSM1657936	hg38	1
sraFiles/reads-ByExp-sra-SRX-SRX995-SRX995926-SRR1974608-/SRR1974608_2.fastq.gz	fastq	reads	GSM1657936	hg38	2
