accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX24486877	Tregcells(CD4+CD25+Foxp3-YFP+)	Tregcells(CD4+CD25+Foxp3-YFP+)	NA	Tregcells(CD4+CD25+Foxp3-YFP+)	SRP506266	SRS21236208	0.977	0.728	1.977	0.787	0.478	0.721	1551.49	27487	72710.12	118
SRX24486886	Tconvcells(CD4+Foxp3YFP-)	Tconvcells(CD4+Foxp3YFP-)	NA	Tconvcells(CD4+Foxp3YFP-)	SRP506266	SRS21236212	0.978	0.733	2.252	0.794	0.427	0.748	1443.25	30641	63395.9	175
SRX24486887	Tconvcells(CD4+Foxp3YFP-)	Tconvcells(CD4+Foxp3YFP-)	NA	Tconvcells(CD4+Foxp3YFP-)	SRP506266	SRS21236213	0.977	0.717	2.782	0.774	0.476	0.762	1404.6	31006	51254.11	167
SRX24540053	Embryo	NA	embryo	NA	SRP494931	SRS21284918	0.970	0.267	3.157	0.861	0.122	0.860	0.0	0	109675768.0	1
SRX24540055	Embryo	NA	embryo	NA	SRP494931	SRS21284920	0.970	0.255	2.095	0.845	0.099	0.742	705688.0	1	109673864.0	1
SRX24540056	Embryo	NA	embryo	NA	SRP494931	SRS21284921	0.971	0.261	4.502	0.868	0.201	0.913	211772.0	1	0.0	0
SRX24540057	Embryo	NA	embryo	NA	SRP494931	SRS21284922	0.971	0.270	2.608	0.831	0.131	0.821	0.0	0	118821130.0	1
SRX24540062	Embryo	NA	embryo	NA	SRP494931	SRS21284927	0.972	0.253	4.196	0.865	0.190	0.900	0.0	0	106581314.0	1
SRX24540063	Embryo	NA	embryo	NA	SRP494931	SRS21284928	0.970	0.261	3.639	0.865	0.146	0.881	0.0	0	109675009.0	1
SRX24540064	Embryo	NA	embryo	NA	SRP494931	SRS21284929	0.972	0.263	2.754	0.860	0.113	0.815	0.0	0	0.0	0
SRX247061	Primary Keratinocytes	Primary keratinocytes	NA	Mouse primary keratinocytes	SRP018963	SRS399151	0.999	0.654	28.538	0.766	0.881	0.931	1152.37	69003	11712.48	2763
SRX247304	Primary Dermal Fibroblasts	Primary dermal fibroblasts	NA	Mouse primary dermal fibroblasts	SRP019026	SRS399299	0.999	0.637	38.097	0.724	0.909	0.933	1247.45	43963	12851.92	2269
SRX247305	Primary Dermal Fibroblasts	Primary dermal fibroblasts	NA	Mouse primary dermal fibroblasts	SRP019026	SRS399300	0.999	0.633	29.246	0.722	0.915	0.930	1215.45	42338	11922.6	2300
SRX24780657	ESC	mESC	NA	J1	SRP511326	SRS21498599	0.977	0.716	13.148	0.841	0.284	0.946	1432.33	39132	23148.14	2754
SRX24780658	ESC	mESC	NA	J1	SRP511326	SRS21498600	0.978	0.723	19.672	0.826	0.560	0.951	1418.56	44460	15008.07	4548
SRX24780659	ESC	mESC	NA	J1	SRP511326	SRS21498601	0.980	0.645	17.992	0.846	0.303	0.950	1544.45	45075	18246.52	4039
SRX24780660	ESC	mESC	NA	J1	SRP511326	SRS21498602	0.977	0.649	22.592	0.833	0.607	0.952	1492.37	47248	15669.62	4081
