accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX7885083	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294797	0.989	0.540	40.173	0.772	0.812	0.960	897.46	29916	12215.96	1256
SRX7885084	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294798	0.989	0.554	27.449	0.800	0.850	0.951	963.09	26971	11476.08	1089
SRX7885085	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294799	0.989	0.562	31.411	0.798	0.852	0.962	872.83	30746	11023.11	1164
SRX7885086	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294800	0.989	0.503	30.779	0.780	0.787	0.953	1045.69	26594	13203.05	1366
SRX7885087	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294801	0.981	0.472	36.327	0.817	0.665	0.956	1012.47	26298	14126.55	1301
SRX7885088	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294802	0.989	0.526	29.523	0.806	0.838	0.958	958.14	27192	12369.48	995
SRX7885089	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294803	0.989	0.517	40.115	0.771	0.813	0.963	945.23	34960	16063.28	1313
SRX7885090	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294804	0.988	0.507	34.026	0.782	0.798	0.959	1034.14	27559	15001.41	1069
SRX7885091	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294805	0.989	0.523	31.768	0.801	0.835	0.961	950.07	27494	11906.41	1174
SRX7885092	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294806	0.989	0.515	41.088	0.767	0.817	0.959	942.5	35544	15462.39	1451
SRX7885093	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294807	0.989	0.502	24.720	0.785	0.856	0.950	1098.59	26086	13655.21	1384
