musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/GRCm38.p1/ASSEMBLY_INFO
musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/GRCm38/ASSEMBLY_INFO
musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/MGSCv37/ASSEMBLY_INFO
musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/MmusALLPATHS1/ASSEMBLY_INFO
musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/MmusALLPATHS2/ASSEMBLY_INFO
musMus	10090	Mus musculus	2012-11-14 10:16:18	vertebrates_mammals/Mus_musculus/MmusSOAP1/ASSEMBLY_INFO
musMus	10090	Mus musculus	2013-03-15 14:53:09	vertebrates_mammals/Mus_musculus/GRCm38.p2/ASSEMBLY_INFO
musMus	10090	Mus musculus	2013-04-28 10:38:58	vertebrates_mammals/Mus_musculus/mm129svJae1.0/ASSEMBLY_INFO
musMus	10090	Mus musculus	2013-06-08 13:19:06	vertebrates_mammals/Mus_musculus/MSM_WGSv1/ASSEMBLY_INFO
musMus	10090	Mus musculus	2014-03-24 10:23:05	vertebrates_mammals/Mus_musculus/GRCm38.p3/ASSEMBLY_INFO
musPut	9669	Mustela putorius furo	2012-11-14 10:16:18	vertebrates_mammals/Mustela_putorius/MusPutFur1.0/ASSEMBLY_INFO
musPut	9669	Mustela putorius furo	2012-11-14 10:16:18	vertebrates_mammals/Mustela_putorius/MusPutFurMale1.0/ASSEMBLY_INFO
myoBra	109478	Myotis brandtii	2013-07-14 16:35:24	vertebrates_mammals/Myotis_brandtii/ASM41265v1/ASSEMBLY_INFO
myoDav	225400	Myotis davidii	2013-01-03 06:25:12	vertebrates_mammals/Myotis_davidii/ASM32734v1/ASSEMBLY_INFO
myoLuc	59463	Myotis lucifugus	2012-11-14 10:16:18	vertebrates_mammals/Myotis_lucifugus/Myoluc2.0/ASSEMBLY_INFO
nanGal	1026970	Nannospalax galili	2014-06-06 10:23:06	vertebrates_mammals/Nannospalax_galili/S.galili_v1.0/ASSEMBLY_INFO
neoBri	32507	Neolamprologus brichardi	2012-11-14 10:16:20	vertebrates_other/Neolamprologus_brichardi/NeoBri1.0/ASSEMBLY_INFO
nomLeu	61853	Nomascus leucogenys	2012-11-14 10:16:18	vertebrates_mammals/Nomascus_leucogenys/Nleu1.0/ASSEMBLY_INFO
nomLeu	61853	Nomascus leucogenys	2012-11-14 10:16:18	vertebrates_mammals/Nomascus_leucogenys/Nleu1.1/ASSEMBLY_INFO
nomLeu	61853	Nomascus leucogenys	2013-01-03 06:25:12	vertebrates_mammals/Nomascus_leucogenys/Nleu_3.0/ASSEMBLY_INFO
ochPri	9978	Ochotona princeps	2012-11-14 10:16:18	vertebrates_mammals/Ochotona_princeps/OchPri3.0/ASSEMBLY_INFO
octDeg	10160	Octodon degus	2012-11-14 10:16:18	vertebrates_mammals/Octodon_degus/OctDeg1.0/ASSEMBLY_INFO
odoRos	9708	Odobenus rosmarus divergens	2013-02-21 23:30:07	vertebrates_mammals/Odobenus_rosmarus/Oros_1.0/ASSEMBLY_INFO
opiHoa	30419	Opisthocomus hoazin	2014-06-04 10:23:03	vertebrates_other/Opisthocomus_hoazin/ASM69207v1/ASSEMBLY_INFO
orcOrc	9733	Orcinus orca	2014-04-08 10:23:43	vertebrates_mammals/Orcinus_orca/Oorc_1.1/ASSEMBLY_INFO
orcOrc	9733	Orcinus orca	2014-04-08 10:23:43	vertebrates_mammals/Orcinus_orca/Oorc_1.1_old/ASSEMBLY_INFO
oreNil	8128	Oreochromis niloticus	2012-11-14 10:16:20	vertebrates_other/Oreochromis_niloticus/Orenil1.0/ASSEMBLY_INFO
