accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX1067828	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967707	0.990	0.690	6.984	0.818	0.947	0.944	1248.32	35458	15300.08	958
SRX1067829	Perirenal Adipose	NA	perirenal adipose tissue	Perirenal adipose tissue	SRP059746	SRS967703	0.990	0.678	7.402	0.832	0.939	0.945	1252.7	35192	16560.3	930
SRX10909084	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000572	0.992	0.709	15.349	0.809	0.670	0.919	1276.0	37933	14615.48	1961
SRX10909085	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000571	0.992	0.703	15.813	0.744	0.704	0.922	1241.28	38510	14060.41	1706
SRX10909086	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000573	0.992	0.702	16.613	0.743	0.681	0.916	1264.82	36759	13349.78	1957
SRX10909087	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000574	0.991	0.712	20.863	0.819	0.708	0.957	1132.49	46882	13406.08	2010
SRX10909088	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000575	0.993	0.578	19.619	0.768	0.712	0.948	1272.25	39564	27579.82	2319
SRX10909089	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000576	0.993	0.708	16.945	0.817	0.698	0.922	1227.4	39057	14486.44	1816
SRX10909090	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000577	0.992	0.712	15.763	0.797	0.696	0.915	1224.32	38423	13573.04	1541
SRX10909091	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000578	0.993	0.710	20.619	0.829	0.698	0.953	1109.9	45496	12574.86	2052
SRX10909092	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000579	0.992	0.716	15.446	0.826	0.689	0.906	1255.83	36541	13464.9	1450
SRX10909093	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000580	0.990	0.716	21.471	0.812	0.703	0.955	1151.92	46278	15197.35	2097
SRX10909094	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000581	0.993	0.714	17.488	0.831	0.690	0.915	1270.98	37955	13841.7	1496
SRX10909095	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000582	0.990	0.707	19.370	0.807	0.644	0.957	1111.99	46125	12422.57	1901
SRX10909096	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000583	0.989	0.728	20.955	0.826	0.652	0.941	1231.91	42532	14749.26	2221
SRX10909097	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000584	0.989	0.731	20.394	0.828	0.657	0.952	1148.94	43580	15280.05	1829
SRX10909098	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000585	0.990	0.718	20.232	0.820	0.670	0.952	1123.3	44751	13095.1	1755
SRX10909099	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000586	0.990	0.717	20.835	0.831	0.659	0.956	1135.68	44565	13179.52	2135
SRX10909100	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000587	0.990	0.710	19.109	0.817	0.662	0.953	1138.98	44031	12490.86	2236
SRX10909101	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000588	0.989	0.726	15.137	0.821	0.708	0.926	1217.34	39866	11734.89	2188
SRX10909102	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000589	0.992	0.716	16.492	0.831	0.676	0.918	1240.53	40021	14911.86	1632
SRX10909103	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000590	0.993	0.709	17.608	0.831	0.677	0.922	1257.88	38596	13667.73	1854
SRX10909104	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000591	0.992	0.721	17.213	0.812	0.706	0.924	1224.79	41268	14863.11	1985
SRX10909105	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000592	0.990	0.720	19.996	0.825	0.687	0.954	1135.89	46034	14519.93	1893
SRX10909106	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000593	0.992	0.721	16.864	0.829	0.695	0.918	1252.19	41277	14883.99	2050
SRX10909107	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000595	0.992	0.721	15.941	0.831	0.677	0.907	1272.33	38572	13489.01	2025
SRX10909108	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000594	0.992	0.716	15.859	0.821	0.694	0.903	1295.53	39449	13076.89	1712
SRX10909109	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000597	0.992	0.720	15.454	0.806	0.648	0.902	1226.22	37659	15977.03	1557
SRX10909110	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000596	0.993	0.711	16.684	0.828	0.691	0.947	1109.17	42283	12903.9	2070
SRX10909111	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000598	0.992	0.719	13.336	0.827	0.694	0.913	1251.75	39992	14321.44	1739
SRX10909112	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000599	0.992	0.699	18.503	0.775	0.690	0.946	1181.0	43085	14598.76	2185
SRX10909113	Hypothalamus	NA	hypothalamus	NA	SRP320067	SRS9000600	0.992	0.715	16.380	0.835	0.687	0.925	1223.26	39220	13503.51	1866
SRX1193125	Longissimus Dorsi	NA	Longissimus dorsi	NA	SRP063378	SRS1057330	0.994	0.631	32.074	0.707	0.899	0.957	1124.91	45983	13563.93	2085
SRX1194014	Longissimus Dorsi	NA	Longissimus dorsi	NA	SRP063378	SRS1057422	0.994	0.633	27.299	0.740	0.902	0.955	1138.39	42095	19269.38	2138
SRX11944577	Ovary	NA	ovary	NA	SRP334368	SRS7811992	0.991	0.673	11.574	0.868	0.717	0.937	1189.6	49277	11604.19	1292
SRX11944578	Ovary	NA	ovary	NA	SRP334368	SRS7811993	0.991	0.672	11.165	0.869	0.726	0.934	1220.86	50077	11788.98	1376
SRX11944579	Ovary	NA	ovary	NA	SRP334368	SRS7811994	0.991	0.662	11.370	0.868	0.699	0.935	1230.11	53815	11765.78	1470
SRX11944580	Ovary	NA	ovary	NA	SRP334368	SRS7811995	0.991	0.665	10.454	0.868	0.663	0.929	1252.31	48132	11503.81	1392
SRX11944581	Ovary	NA	ovary	NA	SRP334368	SRS7811996	0.993	0.656	12.549	0.858	0.660	0.947	1197.53	53871	12071.01	1563
SRX11944582	Ovary	NA	ovary	NA	SRP334368	SRS7811997	0.991	0.648	11.462	0.848	0.681	0.942	1159.89	46877	11315.17	1414
